Entry	Entry name	Protein names	Gene names	Gene names  (primary )
Q9H6L4	ARMC7_HUMAN	Armadillo repeat-containing protein 7	ARMC7	ARMC7
Q8NAG6	ANKL1_HUMAN	Ankyrin repeat and LEM domain-containing protein 1 (EC 3.1.-.-) (Ankyrin repeat domain-containing protein 41) (LEM-domain containing protein 3)	ANKLE1 ANKRD41 LEM3	ANKLE1
O15085	ARHGB_HUMAN	Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF)	ARHGEF11 KIAA0380	ARHGEF11
Q6NSI1	AR26L_HUMAN	Putative ankyrin repeat domain-containing protein 26-like protein	ANKRD26P1	ANKRD26P1
Q9Y2Q0	AT8A1_HUMAN	Phospholipid-transporting ATPase IA (EC 7.6.2.1) (ATPase class I type 8A member 1) (Chromaffin granule ATPase II) (P4-ATPase flippase complex alpha subunit ATP8A1)	ATP8A1 ATPIA	ATP8A1
Q9Y6H3	ATP23_HUMAN	Mitochondrial inner membrane protease ATP23 homolog (EC 3.4.24.-) (Ku70-binding protein 3) (XRCC6-binding protein 1)	ATP23 KUB3 XRCC6BP1	ATP23
Q9UKI2	BORG2_HUMAN	Cdc42 effector protein 3 (Binder of Rho GTPases 2) (MSE55-related Cdc42-binding protein)	CDC42EP3 BORG2 CEP3	CDC42EP3
Q9Y6D5	BIG2_HUMAN	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)	ARFGEF2 ARFGEP2 BIG2	ARFGEF2
Q16520	BATF_HUMAN	Basic leucine zipper transcriptional factor ATF-like (B-cell-activating transcription factor) (B-ATF) (SF-HT-activated gene 2 protein) (SFA-2)	BATF	BATF
Q9NR55	BATF3_HUMAN	Basic leucine zipper transcriptional factor ATF-like 3 (B-ATF-3) (21 kDa small nuclear factor isolated from T-cells) (Jun dimerization protein p21SNFT)	BATF3 SNFT	BATF3
O95696	BRD1_HUMAN	Bromodomain-containing protein 1 (BR140-like protein) (Bromodomain and PHD finger-containing protein 2)	BRD1 BRL BRPF2	BRD1
Q5T5X7	BEND3_HUMAN	BEN domain-containing protein 3	BEND3 KIAA1553	BEND3
Q8NFL0	B3GN7_HUMAN	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 (BGnT-7) (Beta-1,3-Gn-T7) (Beta-1,3-N-acetylglucosaminyltransferase 7) (Beta3Gn-T7) (EC 2.4.1.-)	B3GNT7	B3GNT7
Q9UFE4	CCD39_HUMAN	Coiled-coil domain-containing protein 39	CCDC39	CCDC39
Q6ZRK6	CCD73_HUMAN	Coiled-coil domain-containing protein 73 (Sarcoma antigen NY-SAR-79)	CCDC73	CCDC73
Q15878	CAC1E_HUMAN	Voltage-dependent R-type calcium channel subunit alpha-1E (Brain calcium channel II) (BII) (Calcium channel, L type, alpha-1 polypeptide, isoform 6) (Voltage-gated calcium channel subunit alpha Cav2.3)	CACNA1E CACH6 CACNL1A6	CACNA1E
Q3MIR4	CC50B_HUMAN	Cell cycle control protein 50B (P4-ATPase flippase complex beta subunit TMEM30B) (Transmembrane protein 30B)	TMEM30B CDC50B	TMEM30B
P43235	CATK_HUMAN	Cathepsin K (EC 3.4.22.38) (Cathepsin O) (Cathepsin O2) (Cathepsin X)	CTSK CTSO CTSO2	CTSK
P06731	CEAM5_HUMAN	Carcinoembryonic antigen-related cell adhesion molecule 5 (Carcinoembryonic antigen) (CEA) (Meconium antigen 100) (CD antigen CD66e)	CEACAM5 CEA	CEACAM5
O75493	CAH11_HUMAN	Carbonic anhydrase-related protein 11 (CA-RP XI) (CA-XI) (CARP XI) (Carbonic anhydrase-related protein 2) (CA-RP II) (CARP-2)	CA11 CARP2 UNQ211/PRO237	CA11
Q96S66	CLCC1_HUMAN	Chloride channel CLIC-like protein 1 (Mid-1-related chloride channel protein 1)	CLCC1 KIAA0761 MCLC	CLCC1
Q6IBW4	CNDH2_HUMAN	Condensin-2 complex subunit H2 (Chromosome-associated protein H2) (hCAP-H2) (Kleisin-beta) (Non-SMC condensin II complex subunit H2)	NCAPH2 CAPH2	NCAPH2
P09497	CLCB_HUMAN	Clathrin light chain B (Lcb)	CLTB	CLTB
Q5T681	CJ062_HUMAN	Uncharacterized protein C10orf62	C10orf62	C10orf62
Q66GS9	CP135_HUMAN	Centrosomal protein of 135 kDa (Cep135) (Centrosomal protein 4)	CEP135 CEP4 KIAA0635	CEP135
Q9Y5I7	CLD16_HUMAN	Claudin-16 (Paracellin-1) (PCLN-1)	CLDN16 PCLN1	CLDN16
Q12887	COX10_HUMAN	Protoheme IX farnesyltransferase, mitochondrial (EC 2.5.1.141) (Heme O synthase)	COX10	COX10
Q7Z407	CSMD3_HUMAN	CUB and sushi domain-containing protein 3 (CUB and sushi multiple domains protein 3)	CSMD3 KIAA1894	CSMD3
Q9Y6N1	COX11_HUMAN	Cytochrome c oxidase assembly protein COX11, mitochondrial	COX11	COX11
P05813	CRBA1_HUMAN	Beta-crystallin A3 [Cleaved into: Beta-crystallin A3, isoform A1, Delta4 form; Beta-crystallin A3, isoform A1, Delta7 form; Beta-crystallin A3, isoform A1, Delta8 form]	CRYBA1 CRYB1	CRYBA1
Q5TAQ9	DCAF8_HUMAN	DDB1- and CUL4-associated factor 8 (WD repeat-containing protein 42A)	DCAF8 H326 WDR42A	DCAF8
O75618	DEDD_HUMAN	Death effector domain-containing protein (DEDPro1) (Death effector domain-containing testicular molecule) (FLDED-1)	DEDD DEDPRO1 DEFT KE05	DEDD
Q8IYB7	DI3L2_HUMAN	DIS3-like exonuclease 2 (hDIS3L2) (EC 3.1.13.-)	DIS3L2 FAM6A	DIS3L2
Q8IXT2	DMRTD_HUMAN	Doublesex- and mab-3-related transcription factor C2	DMRTC2	DMRTC2
Q9GZS0	DNAI2_HUMAN	Dynein intermediate chain 2, axonemal (Axonemal dynein intermediate chain 2)	DNAI2	DNAI2
Q96M86	DNHD1_HUMAN	Dynein heavy chain domain-containing protein 1 (Dynein heavy chain domain 1-like protein) (Protein CCDC35)	DNHD1 C11orf47 CCDC35 DHCD1 DNHD1L UNQ5781/PRO12970	DNHD1
O60496	DOK2_HUMAN	Docking protein 2 (Downstream of tyrosine kinase 2) (p56(dok-2))	DOK2	DOK2
Q9UI46	DNAI1_HUMAN	Dynein intermediate chain 1, axonemal (Axonemal dynein intermediate chain 1)	DNAI1	DNAI1
Q6ICB0	DESI1_HUMAN	Desumoylating isopeptidase 1 (DeSI-1) (EC 3.4.-.-) (PPPDE peptidase domain-containing protein 2) (Polyubiquitinated substrate transporter) (POST)	DESI1 FAM152B PPPDE2	DESI1
P28845	DHI1_HUMAN	Corticosteroid 11-beta-dehydrogenase isozyme 1 (EC 1.1.1.146) (11-beta-hydroxysteroid dehydrogenase 1) (11-DH) (11-beta-HSD1) (Short chain dehydrogenase/reductase family 26C member 1)	HSD11B1 HSD11 HSD11L SDR26C1	HSD11B1
Q9UK85	DKKL1_HUMAN	Dickkopf-like protein 1 (Cancer/testis antigen 34) (CT34) (Protein soggy-1) (SGY-1)	DKKL1 SGY1 UNQ735/PRO1429	DKKL1
Q9Y2G8	DJC16_HUMAN	DnaJ homolog subfamily C member 16	DNAJC16 KIAA0962	DNAJC16
Q9NZQ0	DJC27_HUMAN	DnaJ homolog subfamily C member 27 (Rab and DnaJ domain-containing protein)	DNAJC27 RABJS RBJ	DNAJC27
Q07687	DLX2_HUMAN	Homeobox protein DLX-2	DLX2	DLX2
Q9NPF5	DMAP1_HUMAN	DNA methyltransferase 1-associated protein 1 (DNMAP1) (DNMT1-associated protein 1)	DMAP1 KIAA1425	DMAP1
Q8N4W6	DJC22_HUMAN	DnaJ homolog subfamily C member 22	DNAJC22	DNAJC22
P32926	DSG3_HUMAN	Desmoglein-3 (130 kDa pemphigus vulgaris antigen) (PVA) (Cadherin family member 6)	DSG3 CDHF6	DSG3
Q86TI2	DPP9_HUMAN	Dipeptidyl peptidase 9 (DP9) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 2) (DPRP-2) (Dipeptidyl peptidase IX) (DPP IX) (Dipeptidyl peptidase-like protein 9) (DPLP9)	DPP9 DPRP2	DPP9
P0DPD6	ECE2_HUMAN	Endothelin-converting enzyme 2 (ECE-2) (EC 3.4.24.71)	ECE2 KIAA0604 UNQ403/PRO740	ECE2
P49005	DPOD2_HUMAN	DNA polymerase delta subunit 2 (DNA polymerase delta subunit p50)	POLD2	POLD2
Q96FN9	DTD2_HUMAN	D-aminoacyl-tRNA deacylase 2 (EC 3.1.1.96) (Animalia-specific tRNA deacylase) (ATD) (D-tyrosyl-tRNA(Tyr) deacylase 2) (L-alanyl-tRNA deacylase)	DTD2 C14orf126	DTD2
P21918	DRD5_HUMAN	D(1B) dopamine receptor (D(5) dopamine receptor) (D1beta dopamine receptor) (Dopamine D5 receptor)	DRD5 DRD1B DRD1L2	DRD5
Q9H8V3	ECT2_HUMAN	Protein ECT2 (Epithelial cell-transforming sequence 2 oncogene)	ECT2	ECT2
Q9NVV5	AIG1_HUMAN	Androgen-induced gene 1 protein (AIG-1) (Fatty acid esters of hydroxy fatty acids hydrolase AIG1) (FAHFA hydrolase AIG1) (EC 3.1.-.-)	AIG1 CGI-103	AIG1
P08319	ADH4_HUMAN	All-trans-retinol dehydrogenase [NAD(+)] ADH4 (EC 1.1.1.105) (Alcohol dehydrogenase 4) (Alcohol dehydrogenase class II pi chain)	ADH4	ADH4
P51690	ARSL_HUMAN	Arylsulfatase L (EC 3.1.6.-) (Arylsulfatase E) (ASE)	ARSL ARSE	ARSL
A6ND91	ASPD_HUMAN	Putative L-aspartate dehydrogenase (EC 1.4.1.21) (Aspartate dehydrogenase domain-containing protein)	ASPDH	ASPDH
Q92485	ASM3B_HUMAN	Acid sphingomyelinase-like phosphodiesterase 3b (ASM-like phosphodiesterase 3b) (EC 3.1.4.-)	SMPDL3B ASML3B ASMLPD	SMPDL3B
Q9H672	ASB7_HUMAN	Ankyrin repeat and SOCS box protein 7 (ASB-7)	ASB7	ASB7
Q8TDM0	BCAS4_HUMAN	Breast carcinoma-amplified sequence 4	BCAS4	BCAS4
Q6ZN30	BNC2_HUMAN	Zinc finger protein basonuclin-2	BNC2	BNC2
P54710	ATNG_HUMAN	Sodium/potassium-transporting ATPase subunit gamma (Na(+)/K(+) ATPase subunit gamma) (FXYD domain-containing ion transport regulator 2) (Sodium pump gamma chain)	FXYD2 ATP1C ATP1G1	FXYD2
Q9BSF8	BTBDA_HUMAN	BTB/POZ domain-containing protein 10 (Glucose metabolism-related protein 1)	BTBD10 GMRP1	BTBD10
Q9UIF8	BAZ2B_HUMAN	Bromodomain adjacent to zinc finger domain protein 2B (hWALp4)	BAZ2B KIAA1476	BAZ2B
O00512	BCL9_HUMAN	B-cell CLL/lymphoma 9 protein (B-cell lymphoma 9 protein) (Bcl-9) (Protein legless homolog)	BCL9	BCL9
Q9H2F9	CCD68_HUMAN	Coiled-coil domain-containing protein 68 (Cutaneous T-cell lymphoma-associated antigen se57-1) (CTCL-associated antigen se57-1)	CCDC68	CCDC68
Q6L9W6	B4GN3_HUMAN	Beta-1,4-N-acetylgalactosaminyltransferase 3 (B4GalNAcT3) (Beta4GalNAc-T3) (Beta4GalNAcT3) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase III) (N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 2) (NGalNAc-T2)	B4GALNT3	B4GALNT3
Q02641	CACB1_HUMAN	Voltage-dependent L-type calcium channel subunit beta-1 (CAB1) (Calcium channel voltage-dependent subunit beta 1)	CACNB1 CACNLB1	CACNB1
O15467	CCL16_HUMAN	C-C motif chemokine 16 (Chemokine CC-4) (HCC-4) (Chemokine LEC) (IL-10-inducible chemokine) (LCC-1) (Liver-expressed chemokine) (Lymphocyte and monocyte chemoattractant) (LMC) (Monotactin-1) (MTN-1) (NCC-4) (Small-inducible cytokine A16)	CCL16 ILINCK NCC4 SCYA16	CCL16
P83916	CBX1_HUMAN	Chromobox protein homolog 1 (HP1Hsbeta) (Heterochromatin protein 1 homolog beta) (HP1 beta) (Heterochromatin protein p25) (M31) (Modifier 1 protein) (p25beta)	CBX1 CBX	CBX1
Q7Z7H3	CATIP_HUMAN	Ciliogenesis-associated TTC17-interacting protein	CATIP C2orf62	CATIP
P15088	CBPA3_HUMAN	Mast cell carboxypeptidase A (MC-CPA) (EC 3.4.17.1) (Carboxypeptidase A3)	CPA3	CPA3
F5H4A9	CC080_HUMAN	Uncharacterized membrane protein C3orf80	C3orf80	C3orf80
Q5JVX7	CA141_HUMAN	Uncharacterized protein C1orf141	C1orf141	C1orf141
Q8N1I8	CAAS1_HUMAN	Putative uncharacterized protein encoded by CACTIN-AS1 (Cactin antisense RNA 1)	CACTIN-AS1 C19orf29-AS1 C19orf29OS	CACTIN-AS1
Q7Z3S7	CA2D4_HUMAN	Voltage-dependent calcium channel subunit alpha-2/delta-4 (Voltage-gated calcium channel subunit alpha-2/delta-4) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-4; Voltage-dependent calcium channel subunit delta-4]	CACNA2D4	CACNA2D4
Q8TDN4	CABL1_HUMAN	CDK5 and ABL1 enzyme substrate 1 (Interactor with CDK3 1) (Ik3-1)	CABLES1 CABLES	CABLES1
Q6F5E8	CARL2_HUMAN	Capping protein, Arp2/3 and myosin-I linker protein 2 (Capping protein regulator and myosin 1 linker 2) (F-actin-uncapping protein RLTPR) (Leucine-rich repeat-containing protein 16C) (RGD, leucine-rich repeat, tropomodulin and proline-rich-containing protein)	CARMIL2 LRRC16C RLTPR	CARMIL2
Q8IYW2	CFA46_HUMAN	Cilia- and flagella-associated protein 46 (Tetratricopeptide repeat protein 40)	CFAP46 C10orf123 C10orf124 C10orf92 C10orf93 TTC40	CFAP46
Q9ULG3	CFA92_HUMAN	Uncharacterized protein CFAP92 (Putative cilia and flagella associated protein 92)	CFAP92 KIAA1257	CFAP92
P13688	CEAM1_HUMAN	Carcinoembryonic antigen-related cell adhesion molecule 1 (Biliary glycoprotein 1) (BGP-1) (CD antigen CD66a)	CEACAM1 BGP BGP1	CEACAM1
Q14008	CKAP5_HUMAN	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG)	CKAP5 KIAA0097	CKAP5
Q53FE4	CD017_HUMAN	Uncharacterized protein C4orf17	C4orf17	C4orf17
Q496F6	CLM2_HUMAN	CMRF35-like molecule 2 (CLM-2) (CD300 antigen-like family member E) (CMRF35-A5) (Immune receptor expressed on myeloid cells 2) (IREM-2) (Polymeric immunoglobulin receptor 2) (PIgR-2) (PIgR2) (Poly-Ig receptor 2) (CD antigen CD300e)	CD300E CD300LE CLM2 CMRF35A5 IREM2	CD300E
Q9UHC6	CNTP2_HUMAN	Contactin-associated protein-like 2 (Cell recognition molecule Caspr2)	CNTNAP2 CASPR2 KIAA0868	CNTNAP2
Q9Y4K1	CRBG1_HUMAN	Beta/gamma crystallin domain-containing protein 1 (Absent in melanoma 1 protein)	CRYBG1 AIM1	CRYBG1
Q96I36	COX14_HUMAN	Cytochrome c oxidase assembly protein COX14	COX14 C12orf62	COX14
P49747	COMP_HUMAN	Cartilage oligomeric matrix protein (COMP) (Thrombospondin-5) (TSP5)	COMP	COMP
Q7Z7K0	COXM1_HUMAN	COX assembly mitochondrial protein homolog (Cmc1p)	CMC1 C3orf68	CMC1
O60397	COX7S_HUMAN	Putative cytochrome c oxidase subunit 7A3, mitochondrial (Cytochrome c oxidase subunit VIIa 3)	COX7A2P2 COX7A3 COX7AL2 COX7AP2	COX7A2P2
P01189	COLI_HUMAN	Pro-opiomelanocortin (POMC) (Corticotropin-lipotropin) [Cleaved into: NPP; Melanotropin gamma (Gamma-MSH); Potential peptide; Corticotropin (Adrenocorticotropic hormone) (ACTH); Melanocyte-stimulating hormone alpha (Alpha-MSH) (Melanotropin alpha); Corticotropin-like intermediary peptide (CLIP); Lipotropin beta (Beta-LPH); Lipotropin gamma (Gamma-LPH); Melanocyte-stimulating hormone beta (Beta-MSH) (Melanotropin beta); Beta-endorphin; Met-enkephalin]	POMC	POMC
Q9Y215	COLQ_HUMAN	Acetylcholinesterase collagenic tail peptide (AChE Q subunit) (Acetylcholinesterase-associated collagen)	COLQ	COLQ
Q8IVE0	CROL2_HUMAN	Putative ciliary rootlet coiled-coil protein-like 2 protein (Ciliary rootlet coiled-coil protein pseudogene 3)	CROCCP3 CROCCL2 KIAA1922	CROCCP3
A2RUQ5	CQ102_HUMAN	Uncharacterized protein C17orf102	C17orf102	C17orf102
Q8N4C9	CQ078_HUMAN	Uncharacterized protein C17orf78	C17orf78	C17orf78
Q9UBG3	CRNN_HUMAN	Cornulin (53 kDa putative calcium-binding protein) (53 kDa squamous epithelial-induced stress protein) (58 kDa heat shock protein) (Squamous epithelial heat shock protein 53) (Tumor-related protein)	CRNN C1orf10 DRC1 PDRC1 SEP53	CRNN
O75131	CPNE3_HUMAN	Copine-3 (Copine III)	CPNE3 CPN3 KIAA0636	CPNE3
Q96HD1	CREL1_HUMAN	Protein disulfide isomerase CRELD1 (EC 5.3.4.1) (Cysteine-rich with EGF-like domain protein 1)	CRELD1 CIRRIN UNQ188/PRO214	CRELD1
Q17RY0	CPEB4_HUMAN	Cytoplasmic polyadenylation element-binding protein 4 (CPE-BP4) (CPE-binding protein 4) (hCPEB-4)	CPEB4 KIAA1673	CPEB4
Q8TCZ7	CU074_HUMAN	Putative uncharacterized protein encoded by LINC00308	LINC00308 C21orf74 NCRNA00308 PRED16	LINC00308
P59037	CU084_HUMAN	Putative uncharacterized protein encoded by LINC00313	LINC00313 C21orf84 NCRNA00313	LINC00313
P02775	CXCL7_HUMAN	Platelet basic protein (PBP) (C-X-C motif chemokine 7) (Leukocyte-derived growth factor) (LDGF) (Macrophage-derived growth factor) (MDGF) (Small-inducible cytokine B7) [Cleaved into: Connective tissue-activating peptide III (CTAP-III) (LA-PF4) (Low-affinity platelet factor IV); TC-2; Connective tissue-activating peptide III(1-81) (CTAP-III(1-81)); Beta-thromboglobulin (Beta-TG); Neutrophil-activating peptide 2(74) (NAP-2(74)); Neutrophil-activating peptide 2(73) (NAP-2(73)); Neutrophil-activating peptide 2 (NAP-2); TC-1; Neutrophil-activating peptide 2(1-66) (NAP-2(1-66)); Neutrophil-activating peptide 2(1-63) (NAP-2(1-63))]	PPBP CTAP3 CXCL7 SCYB7 TGB1 THBGB1	PPBP
Q9NTU4	CTSRZ_HUMAN	Cation channel sperm-associated protein subunit zeta (CatSper-zeta) (CatSperzeta) (Testis-expressed protein 40)	CATSPERZ C11orf20 TEX40	CATSPERZ
O95452	CXB6_HUMAN	Gap junction beta-6 protein (Connexin-30) (Cx30)	GJB6	GJB6
Q9P2B4	CT2NL_HUMAN	CTTNBP2 N-terminal-like protein	CTTNBP2NL KIAA1433	CTTNBP2NL
Q5DJT8	CT452_HUMAN	Cancer/testis antigen family 45 member A2 (Cancer/testis antigen 45-2) (Cancer/testis antigen 45A2)	CT45A2 CT45-2	CT45A2
P61962	DCAF7_HUMAN	DDB1- and CUL4-associated factor 7 (WD repeat-containing protein 68) (WD repeat-containing protein An11 homolog)	DCAF7 HAN11 WDR68	DCAF7
Q96PD2	DCBD2_HUMAN	Discoidin, CUB and LCCL domain-containing protein 2 (CUB, LCCL and coagulation factor V/VIII-homology domains protein 1) (Endothelial and smooth muscle cell-derived neuropilin-like protein)	DCBLD2 CLCP1 ESDN	DCBLD2
Q5TDH0	DDI2_HUMAN	Protein DDI1 homolog 2 (EC 3.4.23.-)	DDI2	DDI2
Q9NXZ2	DDX43_HUMAN	Probable ATP-dependent RNA helicase DDX43 (EC 3.6.4.13) (Cancer/testis antigen 13) (CT13) (DEAD box protein 43) (DEAD box protein HAGE) (Helical antigen)	DDX43 HAGE	DDX43
Q9NUL7	DDX28_HUMAN	Probable ATP-dependent RNA helicase DDX28 (EC 3.6.4.13) (Mitochondrial DEAD box protein 28)	DDX28 MDDX28	DDX28
Q5SW24	DACT2_HUMAN	Dapper homolog 2 (Dapper antagonist of catenin 2)	DACT2 C6orf116 PP13671	DACT2
Q9NNZ3	DNJC4_HUMAN	DnaJ homolog subfamily C member 4 (DnaJ-like protein HSPF2) (Multiple endocrine neoplasia type 1 candidate protein number 18)	DNAJC4 HSPF2 MCG18	DNAJC4
Q8TEA8	DTD1_HUMAN	D-aminoacyl-tRNA deacylase 1 (DTD) (EC 3.1.1.96) (DNA-unwinding element-binding protein B) (DUE-B) (Gly-tRNA(Ala) deacylase) (Histidyl-tRNA synthase-related)	DTD1 C20orf88 DUEB HARS2	DTD1
Q08426	ECHP_HUMAN	Peroxisomal bifunctional enzyme (PBE) (PBFE) (L-bifunctional protein) (LBP) (Multifunctional enzyme 1) (MFE1) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	EHHADH ECHD	EHHADH
Q6RFH8	DUX4C_HUMAN	Double homeobox protein 4C (Double homeobox protein 4, centromeric) (DUX4c) (Double homeobox protein 4-like protein 9)	DUX4L9 DUX4C	DUX4L9
Q9NYG5	APC11_HUMAN	Anaphase-promoting complex subunit 11 (APC11) (Cyclosome subunit 11) (Hepatocellular carcinoma-associated RING finger protein)	ANAPC11 HSPC214	ANAPC11
Q86TB3	ALPK2_HUMAN	Alpha-protein kinase 2 (EC 2.7.11.1) (Heart alpha-protein kinase)	ALPK2 HAK	ALPK2
Q96QF7	ACRC_HUMAN	Acidic repeat-containing protein (Germ cell nuclear antigen)	GCNA ACRC	GCNA
P35626	ARBK2_HUMAN	Beta-adrenergic receptor kinase 2 (Beta-ARK-2) (EC 2.7.11.15) (G-protein-coupled receptor kinase 3)	GRK3 ADRBK2 BARK2	GRK3
P01008	ANT3_HUMAN	Antithrombin-III (ATIII) (Serpin C1)	SERPINC1 AT3 PRO0309	SERPINC1
A6NM10	AQ12B_HUMAN	Aquaporin-12B (AQP-12B)	AQP12B	AQP12B
P02656	APOC3_HUMAN	Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)	APOC3	APOC3
P50553	ASCL1_HUMAN	Achaete-scute homolog 1 (ASH-1) (hASH1) (Class A basic helix-loop-helix protein 46) (bHLHa46)	ASCL1 ASH1 BHLHA46 HASH1	ASCL1
P05023	AT1A1_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	ATP1A1	ATP1A1
P15848	ARSB_HUMAN	Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)	ARSB	ARSB
Q5T2E6	ARMD3_HUMAN	Armadillo-like helical domain-containing protein 3	ARMH3 C10orf76	ARMH3
A6NCI8	CB078_HUMAN	Uncharacterized protein C2orf78	C2orf78	C2orf78
Q567U6	CCD93_HUMAN	Coiled-coil domain-containing protein 93	CCDC93	CCDC93
A0A1B0GVG4	CC194_HUMAN	Coiled-coil domain-containing protein 194	CCDC194	CCDC194
Q9BQI4	CCDC3_HUMAN	Coiled-coil domain-containing protein 3 (Fat/vessel-derived secretory protein) (Favine)	CCDC3	CCDC3
O95273	CCDB1_HUMAN	Cyclin-D1-binding protein 1 (Grap2 and cyclin-D-interacting protein) (Human homolog of Maid)	CCNDBP1 DIP1 GCIP HHM	CCNDBP1
Q9HC52	CBX8_HUMAN	Chromobox protein homolog 8 (Polycomb 3 homolog) (Pc3) (hPc3) (Rectachrome 1)	CBX8 PC3 RC1	CBX8
Q5SNV9	CA167_HUMAN	Uncharacterized protein C1orf167	C1orf167	C1orf167
Q3SXR2	CC036_HUMAN	Uncharacterized protein C3orf36	C3orf36	C3orf36
Q9P1Y5	CAMP3_HUMAN	Calmodulin-regulated spectrin-associated protein 3 (Protein Nezha)	CAMSAP3 KIAA1543	CAMSAP3
Q86V15	CASZ1_HUMAN	Zinc finger protein castor homolog 1 (Castor-related protein) (Putative survival-related protein) (Zinc finger protein 693)	CASZ1 CST SRG ZNF693	CASZ1
Q13901	C1D_HUMAN	Nuclear nucleic acid-binding protein C1D (hC1D)	C1D	C1D
Q9BXJ3	C1QT4_HUMAN	Complement C1q tumor necrosis factor-related protein 4 (C1q/TNF-related protein 4)	C1QTNF4 CTRP4	C1QTNF4
B2RV13	CF97D_HUMAN	Sperm axonemal maintenance protein CFAP97D1 (CFAP97 domain-containing protein 1)	CFAP97D1 C17orf105	CFAP97D1
P53420	CO4A4_HUMAN	Collagen alpha-4(IV) chain	COL4A4	COL4A4
P0C7M8	CLC2L_HUMAN	C-type lectin domain family 2 member L	CLEC2L	CLEC2L
Q9GZY4	COA1_HUMAN	Cytochrome c oxidase assembly factor 1 homolog (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 15 kDa)	COA1 C7orf44 MITRAC15	COA1
Q8N7P3	CLD22_HUMAN	Claudin-22	CLDN22	CLDN22
P56856	CLD18_HUMAN	Claudin-18	CLDN18 UNQ778/PRO1572	CLDN18
Q8WTW3	COG1_HUMAN	Conserved oligomeric Golgi complex subunit 1 (COG complex subunit 1) (Component of oligomeric Golgi complex 1)	COG1 KIAA1381 LDLB	COG1
Q6ZP98	CP047_HUMAN	Putative uncharacterized protein C16orf47	C16orf47	C16orf47
O15431	COPT1_HUMAN	High affinity copper uptake protein 1 (Copper transporter 1) (hCTR1) (Solute carrier family 31 member 1)	SLC31A1 COPT1 CTR1	SLC31A1
Q86Y22	CONA1_HUMAN	Collagen alpha-1(XXIII) chain	COL23A1	COL23A1
Q9H9Q2	CSN7B_HUMAN	COP9 signalosome complex subunit 7b (SGN7b) (Signalosome subunit 7b) (JAB1-containing signalosome subunit 7b)	COPS7B CSN7B	COPS7B
Q8N8Q8	COX18_HUMAN	Cytochrome c oxidase assembly protein COX18, mitochondrial (COX18Hs) (Cytochrome c oxidase assembly protein 18)	COX18 OXA1L2	COX18
P31146	COR1A_HUMAN	Coronin-1A (Coronin-like protein A) (Clipin-A) (Coronin-like protein p57) (Tryptophan aspartate-containing coat protein) (TACO)	CORO1A CORO1	CORO1A
Q8IUR6	CRERF_HUMAN	CREB3 regulatory factor (Luman recruitment factor) (LRF)	CREBRF C5orf41	CREBRF
Q9P1W3	CSC1_HUMAN	Calcium permeable stress-gated cation channel 1 (Transmembrane protein 63C)	TMEM63C C14orf171 CSC1	TMEM63C
O00230	CORT_HUMAN	Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17]	CORT UNQ307/PRO350	CORT
P33260	CP2CI_HUMAN	Cytochrome P450 2C18 (EC 1.14.14.1) (CYPIIC18) (Cytochrome P450-6b/29c)	CYP2C18	CYP2C18
Q9H4W6	COE3_HUMAN	Transcription factor COE3 (Early B-cell factor 3) (EBF-3) (Olf-1/EBF-like 2) (O/E-2) (OE-2)	EBF3 COE3	EBF3
Q99807	COQ7_HUMAN	5-demethoxyubiquinone hydroxylase, mitochondrial (DMQ hydroxylase) (EC 1.14.99.60) (Timing protein clk-1 homolog) (Ubiquinone biosynthesis monooxygenase COQ7)	COQ7	COQ7
Q9H3Y0	CRSPL_HUMAN	Peptidase inhibitor R3HDML (Cysteine-rich secretory protein R3HDML)	R3HDML	R3HDML
Q96D53	COQ8B_HUMAN	Atypical kinase COQ8B, mitochondrial (EC 2.7.-.-) (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)	COQ8B ADCK4	COQ8B
